City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,east ballina,-28.8667,153.5833,26.0,61,79,1.52,AU,1702335405
317,powell river,49.8496,-124.5361,6.22,93,100,2.06,CA,1702335406
318,pionerskiy,54.9508,20.2275,0.42,89,100,1.87,RU,1702335407
319,vilhena,-12.7406,-60.1458,23.12,100,0,3.6,BR,1702335408
320,zhigalovo,54.8097,105.1578,-36.55,100,29,0.21,RU,1702335409
321,sitangkai,4.6628,119.3928,27.74,79,58,4.25,PH,1702335410
322,nuuk,64.1835,-51.7216,0.17,95,100,13.13,GL,1702335411
323,ubinskoye,55.3068,79.6802,-29.59,93,6,5.21,RU,1702335412
324,saint-louis,16.3333,-15.0,23.8,16,69,4.25,SN,1702335413
325,la passe,45.5549,-0.8967,14.13,88,100,5.34,FR,1702335414
326,tromso,69.6496,18.957,-2.99,86,40,4.12,NO,1702335415
327,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,4.12,EC,1702335416
328,hadibu,12.65,54.0333,24.33,70,64,4.6,YE,1702335418
329,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,4.36,RU,1702335419
330,chamical,-30.36,-66.314,31.17,37,0,11.09,AR,1702335421
331,sallisaw,35.4604,-94.7875,15.82,28,0,0.0,US,1702335422
332,galliano,29.4422,-90.2992,15.0,41,0,0.0,US,1702335423
333,savanna-la-mar,18.219,-78.1332,27.97,80,96,1.13,JM,1702335424
334,port hedland,-20.3167,118.5667,23.03,60,0,0.0,AU,1702335425
335,isangel,-19.55,169.2667,26.06,65,75,3.09,VU,1702335427
336,muroto-misakicho,33.2833,134.15,18.72,89,53,4.68,JP,1702335428
337,labytnangi,66.6572,66.4183,-26.93,98,100,3.32,RU,1702335429
338,formosa do rio preto,-11.0483,-45.1931,27.88,42,99,1.37,BR,1702335430
339,villa la angostura,-40.7617,-71.6463,9.71,91,100,3.39,AR,1702335432
340,bac lieu,9.285,105.7244,24.61,91,79,4.81,VN,1702335433
341,usinsk,65.9939,57.5281,-18.24,94,100,12.2,RU,1702335434
342,ruidoso,33.3317,-105.673,12.81,16,0,0.0,US,1702335436
343,terme,41.2092,36.9739,11.96,91,100,1.74,TR,1702335437
344,altai,46.3722,96.2583,-14.4,89,71,0.74,MN,1702335438
345,mar del plata,-38.0023,-57.5575,22.68,87,0,14.75,AR,1702335440
346,clorinda,-25.2848,-57.7185,30.34,74,2,2.02,AR,1702335441
347,saint-philippe,-21.3585,55.7679,22.77,81,61,4.62,RE,1702335442
348,ghat,24.9647,10.1728,12.22,37,0,1.44,LY,1702335443
349,ghardaia,32.4909,3.6735,17.64,34,0,0.0,DZ,1702335444
350,yemetsk,63.4721,41.7941,-11.03,94,100,3.99,RU,1702335446
351,flying fish cove,-10.4217,105.6791,23.82,88,40,2.57,CX,1702335447
352,coquimbo,-29.9533,-71.3436,17.85,72,20,5.66,CL,1702334992
353,la romana,18.4273,-68.9728,29.2,70,20,2.57,DO,1702335449
354,labrador city,52.9463,-66.9114,-6.05,93,100,1.54,CA,1702335450
355,nizhnevartovsk,60.9344,76.5531,-34.99,75,75,2.0,RU,1702335451
356,knyaze-volkonskoye,48.4642,135.4567,-23.81,95,10,4.29,RU,1702335453
357,skhira,34.2992,10.07,12.82,46,4,5.99,TN,1702335454
358,zabol,32.25,67.25,1.76,49,6,2.81,AF,1702335455
